kp_0,kp_1,kp_2,kp_3,kp_4,kp_5,kp_6,kp_7,kp_8,kp_9,kp_10,kp_11,kp_12,kp_13,kp_14,kp_15,kp_16,kp_17,kp_18,kp_19,kp_20,kp_21,kp_22,kp_23,kp_24,kp_25,kp_26,kp_27,kp_28,kp_29,kp_30,kp_31,kp_32,kp_33,kp_34,kp_35,kp_36,kp_37,kp_38,kp_39,kp_40,kp_41,kp_42,kp_43,kp_44,kp_45,kp_46,kp_47,kp_48,kp_49,kp_50,kp_51,kp_52,kp_53,kp_54,kp_55,kp_56,kp_57,kp_58,kp_59,kp_60,kp_61,kp_62,kp_63,kp_64,kp_65,kp_66,kp_67,kp_68,kp_69,kp_70,kp_71,kp_72,kp_73,kp_74,kp_75,kp_76,kp_77,kp_78,kp_79,kp_80,kp_81,kp_82,kp_83,kp_84,kp_85,kp_86,kp_87,kp_88,kp_89,kp_90,kp_91,kp_92,kp_93,kp_94,kp_95,kp_96,kp_97,kp_98,label,posture_name
-0.25091976,0.749775,0.4639879,0.19731697,0.7820957,-0.68801093,-0.88383275,0.8923033,0.20223002,0.41614515,0.9260821,0.9398197,0.6648853,0.79345256,-0.6363501,-0.633191,0.99694395,0.049512863,-0.13610996,0.78543746,0.22370578,-0.7210123,0.74504375,-0.26727632,-0.08786003,0.96023697,-0.60065246,0.028468877,0.89491355,-0.9070992,0.21508971,0.903868,-0.8698968,0.89777106,0.93829244,0.6167947,-0.39077246,0.99984723,0.36846605,-0.119695015,0.7852365,-0.00964618,-0.931223,0.8644154,-0.48244002,0.32504457,0.91127706,0.040136043,0.09342056,0.7438651,0.9391692,0.55026567,0.7920474,0.7896547,0.19579996,0.79199404,-0.823015,-0.60803425,0.798238,-0.34933934,-0.22264542,0.91546214,0.657475,-0.28649336,0.87776166,0.08539217,-0.71815157,0.91476727,-0.8508987,0.9737739,0.85371095,-0.6025686,-0.98895574,0.98663837,0.41371468,0.45801434,0.8561965,-0.8519107,-0.28306854,0.88106227,0.72620684,0.24659625,0.7894879,-0.8728833,-0.37803537,0.71762806,0.45921236,0.27511495,0.9446501,-0.055570148,-0.7608115,0.9569354,0.5215701,0.12255439,0.95525897,-0.012408807,0.04546566,0.940497,-0.94916177,2,Collapsed_Fall
-0.7842171,-0.93714166,0.27282083,-0.37128803,0.017141383,0.815133,-0.50141555,-0.17923415,0.51110226,-0.5424037,-0.8460402,-0.4204971,-0.6775574,0.8593953,0.61624074,0.26680753,0.7429212,0.60734415,-0.6268599,0.785118,0.07868449,0.6148803,0.7921826,-0.36399305,-0.77989614,-0.54412967,-0.14578442,0.63602954,0.7214612,-0.9860957,0.021494605,-0.165178,-0.5557844,-0.7602693,-0.32476965,0.88581944,-0.35359412,0.037581243,0.40603793,-0.27274078,0.9435642,0.9248946,-0.4964354,-0.005502988,-0.39824337,-0.430319,-0.9262261,0.21912867,0.0053580464,-0.8970425,-0.44270706,0.8165318,-0.5208762,-0.71021026,-0.021094479,0.9713009,-0.51588947,0.3442711,0.52323925,-0.5247249,0.4564327,-0.26443374,0.26461166,0.26705942,0.07154937,-0.81942046,0.670605,-0.35843986,-0.62696296,-0.9184497,0.18178588,0.35512874,-0.96682435,0.024186116,-0.54700845,0.29034558,-0.6512672,0.3818755,-0.2265293,0.87346,-0.7249581,-0.3178673,-0.77305293,0.8493872,0.7546787,-0.48411673,0.3199681,0.6344444,0.11040162,0.059301157,-0.51629543,-0.8137945,0.7944315,0.8008361,0.26620293,-0.32194042,-0.30158085,0.45191136,0.7942205,0,Standing
0.77417284,0.5597511,0.28406328,-0.83172005,-0.67674255,0.79710835,0.21285813,-0.9816059,-0.7970569,0.32700354,-0.9898768,-0.6783839,0.09746758,0.3837904,0.3039225,-0.5514614,0.42435846,-0.52550185,-0.3492006,0.4929828,0.2992658,0.6984468,0.31522578,0.13661721,-0.81265044,-0.2645684,-0.46959525,-0.5120207,0.9460211,-0.21380456,0.7840931,0.26227725,0.5896226,0.0052741864,0.15380777,-0.014964612,-0.609514,0.44490424,-0.43845528,-0.9513681,0.2909446,-0.64577866,0.8809172,0.9078572,0.8297288,-0.2596826,-0.96908677,0.8566371,-0.1436317,0.9333096,0.92723995,0.7060189,-0.4111022,-0.22980455,0.70227337,-0.36615598,-0.6610145,0.11360253,0.87230957,0.3920596,0.14012234,-0.805647,0.23001446,0.9801077,-0.71983194,0.036659304,0.75474614,0.48153722,0.3940315,0.40496817,-0.2810177,-0.41281632,0.6187223,0.6202268,0.7341446,0.8264811,0.022684798,0.0030325893,0.59659034,0.29992786,0.40393376,0.59158534,0.7800107,-0.3240097,-0.24883409,-0.8120361,0.15656029,-0.9281154,-0.068803966,0.08528927,-0.4269175,0.18166652,-0.9389995,-0.92530364,0.64520115,-0.2796187,-0.745879,0.04448652,0.5399871,1,Bending
-0.56835794,0.24578094,-0.82930505,-0.89663655,0.062709264,0.08127024,0.27485982,0.45218268,0.95170414,0.032600697,-0.35408705,0.5903724,-0.4583355,-0.12205716,-0.84308726,-0.9492985,0.92529684,0.67196023,0.3919484,-0.18209411,-0.6534114,-0.6871259,-0.4995142,0.09845333,0.42919186,0.32039475,-0.4401322,0.90973055,0.47579384,0.108708106,0.2234415,-0.16079988,-0.504538,-0.28805465,0.51569223,-0.97121304,-0.7678547,-0.9079947,-0.9185424,0.71092117,0.40731573,-0.051652342,-0.80433166,-0.01676825,-0.05305646,-0.6535963,-0.1322967,-0.20299053,0.2317002,0.2701873,-0.909392,-0.25077477,0.25171983,0.006272517,0.7129797,0.31738725,-0.67413116,-0.8588625,0.28483856,-0.9469774,0.17155117,0.8804605,0.15094836,-0.22366014,0.28657645,-0.083494216,0.09123358,0.8829296,-0.22779472,0.9223811,0.8107013,-0.60841775,-0.8612774,-0.798444,-0.96355635,-0.8111141,0.36601356,-0.8576227,-0.36204875,0.6897506,-0.9534561,0.62893695,-0.43629044,-0.7636703,0.39347434,0.2578857,0.754944,0.4701421,0.60696185,-0.43593085,-0.6451209,0.5012295,0.61366946,0.98101026,-0.17476465,-0.25596383,0.5528259,-0.31839293,0.8615146,0,Standing
0.7168255,0.78058267,0.5017421,0.5090858,0.87244344,0.8051058,0.010504745,0.94447803,-0.3599008,0.79104644,0.88762844,-0.9783247,0.81076396,0.98756886,-0.36137274,0.90012395,0.90330815,0.14687577,0.26367444,0.86820304,-0.41357845,-0.34267092,0.9986187,0.50474906,0.5831581,0.86036354,-0.8175878,-0.01115939,0.9900886,0.099057764,-0.116939,0.7036433,-0.29816997,-0.765866,0.8650234,0.5230213,0.23643613,0.78669506,-0.8317864,0.40193826,0.8186903,0.6437201,0.41248447,0.7263781,-0.8303246,0.9732792,0.7792651,-0.25871572,0.62559915,0.8708953,0.97200215,0.50675637,0.91639626,-0.8329986,0.5542938,0.97309905,-0.15155599,0.8127088,0.76952636,-0.0147497915,-0.9772927,0.93862873,-0.8873935,-0.76236415,0.7073618,0.2984206,0.49208975,0.96814615,0.9243451,-0.25025883,0.8784254,0.73719823,-0.55280834,0.9537241,-0.9756911,0.93975765,0.77655923,0.7822862,0.05540222,0.81190336,-0.85240686,0.107708566,0.72912693,0.04619569,0.2587973,0.72366154,-0.09091787,0.25511616,0.94793856,0.802316,-0.90910727,0.7890984,0.900823,0.7805276,0.8057911,0.24026519,-0.44523764,0.8591792,-0.07260319,2,Collapsed_Fall
-0.29329553,0.16731222,-0.8445307,0.9487896,0.97242147,0.39632344,0.072192736,-0.38094476,0.62759006,0.36946234,-0.6747661,0.82185435,0.6450745,0.89959985,0.45143902,0.2268304,-0.16351393,0.86545694,0.7321278,-0.90956265,-0.94726604,-0.24707326,0.6211067,0.9745523,-0.69916624,0.18826143,-0.2382183,0.9398288,0.68423784,0.67665744,-0.06261368,-0.170361,-0.45318586,-0.887249,0.72944474,0.62580204,0.99943537,0.9932737,0.11086341,0.53797483,0.88953143,0.6992948,-0.5053038,-0.09891173,-0.74168116,0.90810204,0.21234927,-0.5427144,0.34340137,0.23625648,-0.28367457,-0.7728848,0.34314638,0.040615402,0.5446368,0.040327,0.704363,0.10381368,0.12187594,0.7533072,-0.19303426,-0.73196954,-0.94243467,0.5102745,0.24061911,0.40815952,-0.5740717,-0.7272571,-0.97091067,-0.29882488,0.17983538,-0.2155119,-0.12505016,0.80831736,-0.30348906,0.027978979,0.56730604,-0.20691444,0.24417341,0.7247274,0.89904124,-0.70585304,0.8531752,-0.015767414,-0.4835112,-0.08172849,0.9600651,-0.014763812,-0.34249678,0.2668017,-0.51970875,-0.84827334,-0.74224055,-0.74390835,-0.6961946,-0.72234565,0.2817495,-0.6362398,-0.30866542,1,Bending
0.79357684,-0.05207672,0.33511546,-0.6553603,-0.61542195,-0.9182628,-0.6621299,-0.44281933,-0.64597905,-0.82259494,-0.75872827,-0.07844246,-0.58733255,-0.27146026,0.006834542,0.38078967,-0.9213757,0.5988208,0.25580078,-0.8364819,0.7471573,0.8417448,-0.8778441,-0.44624472,0.61240256,0.4965194,-0.63095796,-0.58130133,-0.2590558,-0.03095403,0.23650955,-0.26217273,-0.07493057,0.4949419,-0.9266336,-0.4951261,0.42669916,0.7904137,0.023354884,0.06422697,-0.785656,-0.105175264,0.065234534,-0.515059,-0.46151355,-0.24543168,-0.9598576,-0.35584167,-0.577104,-0.3450053,-0.76047575,0.78105456,0.1871849,0.35820463,0.5783425,-0.003115602,-0.8261594,0.07421308,0.17368224,0.49087894,-0.1366809,-0.7448394,-0.43244818,-0.27383542,0.29183447,0.1415566,-0.28780654,0.9730305,0.21154964,-0.52554643,-0.79643506,-0.6942817,-0.50808454,-0.67863727,-0.6268659,-0.42980966,-0.6532528,0.7935308,-0.8395325,0.04902278,-0.17920634,0.9647572,-0.7759222,-0.2042888,0.9389409,0.73101425,0.6341441,-0.48419434,-0.6582248,0.33728644,0.85875195,0.113525786,0.14322537,-0.4400418,0.53898585,-0.6259125,-0.35264152,-0.14912713,0.015220758,1,Bending
-0.5151805,-0.7703264,0.22124009,-0.42273888,0.16247645,-0.6912746,-0.037719797,0.06517886,-0.89635295,-0.32679144,-0.73117065,-0.87325007,0.97992045,-0.35529232,0.6197489,-0.4907187,0.36300546,0.5204557,0.19127747,-0.056847624,-0.17631817,-0.30226347,0.85905826,0.6612388,0.93005383,-0.75140554,0.46173495,0.8766809,-0.63753384,-0.8670075,0.4822413,0.14894623,0.6836575,-0.7204552,0.5905346,-0.5967454,-0.6726881,-0.6714684,0.62914944,0.33039445,0.04613085,-0.28233904,0.7544011,-0.21510978,0.63319886,-0.121730186,-0.24611114,-0.07464043,-0.39724424,0.49521875,0.00544078,-0.5355746,0.79914916,-0.23221755,0.08710572,0.81294423,0.248476,-0.76620394,0.87966424,0.2554161,-0.33018878,-0.7214559,0.58805037,0.2401455,0.06692218,0.7877852,0.5771944,-0.69665027,-0.37655586,-0.5030217,0.4878926,-0.9329351,0.13977937,0.52491736,0.7535313,-0.3158365,0.6425146,-0.77873653,0.6929046,-0.74502265,-0.20542541,0.5945907,-0.70016515,-0.54149723,0.44450513,0.44007307,0.28229526,0.3878969,0.08544888,-0.49640188,-0.30860803,-0.6368046,0.81690115,0.16678359,-0.19829717,-0.07598839,0.89456666,-0.6932972,0.17245966,1,Bending
0.011777358,0.90120226,-0.9637796,0.7442478,0.7139923,0.13026637,0.39330164,0.8722687,0.41447726,-0.6949219,0.8830184,0.21343009,-0.15173866,0.9551148,0.868734,0.85113704,0.746392,-0.7735239,0.9696824,0.8350853,-0.75067466,0.84168375,0.84226274,0.037676115,0.18255088,0.9542664,-0.8904767,-0.32960552,0.80874294,-0.99073595,-0.33300164,0.72431266,0.07479121,0.83971125,0.88037616,-0.3060936,0.4750025,0.89858645,-0.55079037,-0.09512097,0.87472016,-0.64722604,-0.0032644544,0.84696186,0.8296918,-0.2752122,0.763941,0.26452857,-0.9738111,0.86158824,-0.64392805,0.92214066,0.7108261,-0.17075175,-0.82930064,0.8700228,0.004390021,0.19077003,0.8467287,0.49992093,-0.5801888,0.98578745,-0.5897207,-0.61862457,0.79598606,-0.05586611,0.12968227,0.70652694,0.55105525,-0.09342233,0.92803496,-0.118474506,-0.19847389,0.75030136,-0.6895195,-0.63614374,0.86333936,0.8922309,-0.25338137,0.76445013,0.2879991,-0.18253165,0.86182815,-0.6876948,0.43194446,0.8743008,-0.945808,-0.55605567,0.8985127,0.3437855,-0.9605789,0.81189936,0.5998322,-0.64291066,0.71833116,-0.52363443,-0.80111724,0.87907076,0.44453385,2,Collapsed_Fall
0.71139294,0.6604397,-0.20563294,0.3361703,-0.5900314,-0.41370454,0.7926716,-0.97399616,-0.82898295,-0.5842275,-0.9469356,-0.6371291,0.16608313,-0.1571509,0.7853434,0.6348871,-0.3163653,-0.48115313,-0.24061519,0.18058988,-0.46387273,0.24829781,-0.18117669,0.104094364,-0.12774694,-0.41106847,0.8969066,0.5272116,-0.71977365,0.736936,-0.025137603,0.78910446,0.5997105,-0.149573,-0.9550614,-0.4626453,0.08326843,0.26695645,-0.48422462,-0.72128785,0.6698605,0.96880436,0.051380366,-0.6566414,-0.45538536,-0.9632186,0.8285976,-0.7644978,0.15303294,-0.45188954,0.10835601,0.30284077,0.6594836,-0.5871574,-0.97800833,-0.7262287,0.80003726,0.74778014,0.1948262,0.20103373,0.33007336,-0.6492574,0.82882386,-0.16245896,-0.23372294,0.03783541,-0.9060681,-0.66743326,0.47606725,-0.8344027,0.20630422,-0.5093018,-0.22140877,-0.42261252,-0.28865457,0.4380918,-0.40575656,0.13280928,-0.047899194,0.32734233,0.8736595,0.4651442,-0.57011926,-0.93763375,-0.4754719,0.19015586,-0.8971484,-0.0072675054,0.1936857,-0.3315122,0.5418244,-0.7868035,-0.8497244,0.4563775,-0.009017368,0.3768048,-0.13034533,-0.50719595,0.63820463,0,Standing
